ticker,entry_date,exit_date,entry,exit,shares,outcome,pnl,equity_after
^NDX,2026-07-06,2026-07-20,29697.87,28701.99,0.1004,SL,-102.92,9897.08
^GSPC,2026-07-06,2026-07-23,7537.43,7397.0,0.7121,SL,-105.32,9791.76
AAPL,2026-07-06,2026-07-27,312.66,338.54,7.728,TP,197.48,9989.25
NVDA,2026-07-15,2026-07-27,212.5,201.43,9.0334,SL,-101.87,9887.38
AAPL,2026-07-27,2026-07-31,336.91,324.7,8.0978,SL,-101.55,9785.83
UNH,2026-07-27,2026-08-05,417.64,399.68,5.5052,SL,-101.12,9684.7
BAC,2026-07-20,2026-08-11,60.42,64.17,52.9256,TP,195.17,9879.88
JPM,2026-07-17,2026-08-13,343.15,366.5,8.5616,TP,196.88,10076.75,,
